student_id,guardian_name,guardian_email,guardian_phone,relationship,created_at
487ba36c34b24da7ae397d85ba0b0f1a,Nop Parent 10,nop.parent10@mail.org,,Parent,2026-04-06 12:50:06
a9bd85dfcf81456895209d64d96e0bab,Nop Parent 01,nop.parent01@mail.org,,Parent,2026-04-06 12:50:05
c2a25e901f834656a1e9bf022e5ab7bc,Nop Parent 02,nop.parent02@mail.org,,Parent,2026-04-06 12:50:05
42781b34677f461090c4a528acf40d72,Nop Parent 03,nop.parent03@mail.org,,Parent,2026-04-06 12:50:05
a9ff950f6aa44a54a601aeb1d8863caa,Nop Parent 04,nop.parent04@mail.org,,Parent,2026-04-06 12:50:05
e60b46d496a34b45b5043b3cdf122645,Nop Parent 05,nop.parent05@mail.org,,Parent,2026-04-06 12:50:05
17bca77cab3b4a3fb7578557d12d9e18,Nop Parent 06,nop.parent06@mail.org,,Parent,2026-04-06 12:50:05
e05dc675b34542959279b51813d5a9fb,Nop Parent 07,nop.parent07@mail.org,,Parent,2026-04-06 12:50:05
4f5c8ab1f7374df19c49a20513f103ae,Nop Parent 08,nop.parent08@mail.org,,Parent,2026-04-06 12:50:05
74f683788e904b8689311121a66ec81a,Nop Parent 09,nop.parent09@mail.org,,Parent,2026-04-06 12:50:05
b0d0fa054cd445d188f5f2f807be5564,Klm Parent 02,klm.parent02@mail.org,,Parent,2026-04-06 12:50:04
b6965fbdffad4410839f70c8f6b4d2ed,Klm Parent 03,klm.parent03@mail.org,,Parent,2026-04-06 12:50:04
6415cc15aeb1446b9e1cd6084e62d0ec,Klm Parent 04,klm.parent04@mail.org,,Parent,2026-04-06 12:50:04
06363ba96d8f481bacdfa65ab5f7374b,Klm Parent 05,klm.parent05@mail.org,,Parent,2026-04-06 12:50:04
e420712c9c514df2938d87ec3697daef,Klm Parent 06,klm.parent06@mail.org,,Parent,2026-04-06 12:50:04
437ac215ffba421293e8664f4ba0d6cc,Klm Parent 07,klm.parent07@mail.org,,Parent,2026-04-06 12:50:04
af6864894de743ba8bed9566c79b39b1,Klm Parent 08,klm.parent08@mail.org,,Parent,2026-04-06 12:50:04
2b9d3d76a2a545ceb59aafcaae282a0a,Klm Parent 09,klm.parent09@mail.org,,Parent,2026-04-06 12:50:04
d74ed4205f8540f3a2277f2b255a435c,Klm Parent 10,klm.parent10@mail.org,,Parent,2026-04-06 12:50:04
3cf677187a174d1aa60ea607cfa7bb83,Hij Parent 04,hij.parent04@mail.org,,Parent,2026-04-06 12:50:03
20df2c7989a4425daecdc5c130ef6a88,Hij Parent 05,hij.parent05@mail.org,,Parent,2026-04-06 12:50:03
28a25931233546f1b7bebc3fcdee21da,Hij Parent 06,hij.parent06@mail.org,,Parent,2026-04-06 12:50:03
50f18746c8874c9089478ac1ccada7cc,Hij Parent 07,hij.parent07@mail.org,,Parent,2026-04-06 12:50:03
074cfe01e40742e5b21d1709c505780f,Hij Parent 08,hij.parent08@mail.org,,Parent,2026-04-06 12:50:03
3ca57a1be10043a0aee8770357eece39,Hij Parent 09,hij.parent09@mail.org,,Parent,2026-04-06 12:50:03
0a9117e9671e4db5abdcbec5f638ab2a,Hij Parent 10,hij.parent10@mail.org,,Parent,2026-04-06 12:50:03
8d66095064ae42bbba5c8205676991a1,Klm Parent 01,klm.parent01@mail.org,,Parent,2026-04-06 12:50:03
d4ac991bdda1484aad84da112348d308,Def Parent 05,def.parent05@mail.org,,Parent,2026-04-06 12:50:02
5a24404a73cd44bc9d46e32c45cf2641,Def Parent 06,def.parent06@mail.org,,Parent,2026-04-06 12:50:02
0e9f0f3db7b1472fb97e498f1b8a1b2b,Def Parent 07,def.parent07@mail.org,,Parent,2026-04-06 12:50:02
3dc9f70992f04c31974a7342c44c8dfc,Def Parent 08,def.parent08@mail.org,,Parent,2026-04-06 12:50:02
86a10da907a344f08f494a7434947fa4,Def Parent 09,def.parent09@mail.org,,Parent,2026-04-06 12:50:02
c644473f2bc7471aacf1ce3dc7554203,Def Parent 10,def.parent10@mail.org,,Parent,2026-04-06 12:50:02
19762c2591e84a65abc35a7954049daa,Hij Parent 01,hij.parent01@mail.org,,Parent,2026-04-06 12:50:02
bd96a0b081a34beda324be18bd6e01f5,Hij Parent 02,hij.parent02@mail.org,,Parent,2026-04-06 12:50:02
f9bc760011b54a35b6c770f96327d46f,Hij Parent 03,hij.parent03@mail.org,,Parent,2026-04-06 12:50:02
50970d5e83794c30a4d3130150918a5f,Ggg Institute Parent 07,ggg.parent07@mail.org,,Parent,2026-04-06 12:50:01
d1bca03803bf4a8086eed92ff4491709,Ggg Institute Parent 08,ggg.parent08@mail.org,,Parent,2026-04-06 12:50:01
8c0088b667ca4b75863b5ddb75c4dabb,Ggg Institute Parent 09,ggg.parent09@mail.org,,Parent,2026-04-06 12:50:01
15a2f70cbb7049879b3796c34813a175,Ggg Institute Parent 10,ggg.parent10@mail.org,,Parent,2026-04-06 12:50:01
6d489e4a0ae940b9a4963810796e3bbc,Def Parent 01,def.parent01@mail.org,,Parent,2026-04-06 12:50:01
2c7ce78ef7d243559c76fc5e0a976015,Def Parent 02,def.parent02@mail.org,,Parent,2026-04-06 12:50:01
c75edb832ca149f59c90591615580316,Def Parent 03,def.parent03@mail.org,,Parent,2026-04-06 12:50:01
db4e608c8d2e45d2afe279c0253941b4,Def Parent 04,def.parent04@mail.org,,Parent,2026-04-06 12:50:01
e97f7a1e39864a4b8786584dc147d447,Ggg Institute Parent 01,ggg.parent01@mail.org,,Parent,2026-04-06 12:50:00
ad2acaefc054498785bd05edece80b44,Ggg Institute Parent 02,ggg.parent02@mail.org,,Parent,2026-04-06 12:50:00
f0af03b04f6243b79acadbc1f8e5edf6,Ggg Institute Parent 03,ggg.parent03@mail.org,,Parent,2026-04-06 12:50:00
bad82cab1f174bf6bb0476fc273b95ec,Ggg Institute Parent 04,ggg.parent04@mail.org,,Parent,2026-04-06 12:50:00
c7e9a4e3a956482ab9fe60a8cefc5ffb,Ggg Institute Parent 05,ggg.parent05@mail.org,,Parent,2026-04-06 12:50:00
13e3f89c7a41491c807e67b90b978e9b,Ggg Institute Parent 06,ggg.parent06@mail.org,,Parent,2026-04-06 12:50:00
65d29b5ef56c461081e7687021cf37d1,xyz@gmail.com,xyz@gmail.com,,Father,2026-03-30 09:19:21
